日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,RaceJM,伊朗,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,KOF98,尼泊尔,MUUUU574,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,也门,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,埃塞俄比亚,MUUU607,1,0,0.00,0.00,9,0
2018-09-10,Apple,加纳,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,ball,科特迪瓦,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,阿根廷,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,"T Run",加纳,MUUUU571,0,0,0.00,0.00,5,0
2018-09-10,Stickmen,柬埔寨,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,巴拉圭,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,StarJM,所罗门群岛,MUUUU553,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,斯里兰卡,MUUU575,0,0,0.00,0.00,3,0
2018-09-10,CTSniper,索马里,MUUU575,1,0,0.00,0.00,11,1
2018-09-10,RaceJM,菲律宾,MUUU558S,6,0,0.00,0.00,85,1
2018-09-10,RaceJM,特立尼达和多巴哥,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,DotaJM,利比里亚,MUUUU553,0,0,0.00,0.00,1,0
2018-09-10,Racing3D,尼泊尔,MUU58001,0,0,0.00,0.00,1,0
2018-09-10,Apple,刚果共和国,MUUUU571,0,0,0.00,0.00,4,1
2018-09-10,MythWar,缅甸,MUUUU571,3,0,0.00,0.00,12,0
2018-09-10,Temple28,肯尼亚,MUUU1001,0,0,0.00,0.00,6,0
2018-09-10,FishPloy,喀麦隆,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,阿曼,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,SpRacing,南非,MUUU5751,0,0,0.00,0.00,2,0
2018-09-10,RaceJM,阿塞拜疆,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,Apple,中华人民共和国,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,阿富汗,MUUU558S,1,0,0.00,0.00,3,0
2018-09-10,AsokaRev,冈比亚,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,斯里兰卡,MUUU575,4,0,0.00,0.00,47,2
2018-09-10,RaceJM,蒙古国,MUUU556S,0,0,0.00,0.00,2,0
2018-09-10,GunStrik,墨西哥,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,巴基斯坦,MUUU575,3,4,2.72,0.76,17,0
2018-09-10,RaceJM,乌兹别克斯坦,MUUU558S,0,0,0.00,0.00,21,0
2018-09-10,RaceJM,叙利亚,MUUU556S,0,0,0.00,0.00,4,0
2018-09-10,RaceJM,阿尔及利亚,MUUU556S,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,伊拉克,MUUU558S,0,0,0.00,0.00,1,0
2018-09-10,Temple28,利比里亚,MUUU1001,1,0,0.00,0.00,7,0
2018-09-10,Temple28,纳米比亚,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,"run 3guo",苏丹,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,Cricket,沙特阿拉伯,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,刚果民主共和国,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,Fruit,孟加拉国,MUUUU,1,0,0.00,0.00,1,0
2018-09-10,SpRacing,伊拉克,MUUU5751,0,0,0.00,0.00,1,0
